127.0.0.1 - - [04/Jul/2022:23:42:41 +0530] "GET / HTTP/1.1" 200 11354
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:44 +0530] "GET /travellingProject/ HTTP/1.1" 200 24461
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:44 +0530] "GET /travellingProject/resources/css/jquery.mCustomScrollbar.min.css;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 200 42839
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:44 +0530] "GET /travellingProject/resources/css/bootstrap.min.css;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 200 140421
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:44 +0530] "GET /travellingProject/resources/css/style.css;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 200 47130
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:44 +0530] "GET /travellingProject/resources/css/responsive.css;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 200 9704
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/js/popper.min.js;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 200 19190
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/css/animate.min.css HTTP/1.1" 200 53678
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/css/normalize.css HTTP/1.1" 200 7381
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/js/jquery.min.js;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 200 87088
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/css/meanmenu.css HTTP/1.1" 200 3839
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/css/slick.css HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/css/owl.carousel.min.css HTTP/1.1" 200 3248
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/css/jquery-ui.css HTTP/1.1" 200 35973
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/css/jquery.fancybox.min.css HTTP/1.1" 200 14143
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/css/nice-select.css HTTP/1.1" 200 3653
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/js/jquery-3.0.0.min.js;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 200 11324
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/js/bootstrap.bundle.min.js;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 200 70808
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/jquery.mCustomScrollbar.concat.min.js;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/js/custom.js;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 200 8992
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/js/owl.carousel.js;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/images/1.png;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 200 1426
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/images/2.png;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 200 1558
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/images/3.png;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 200 1288
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/images/logo.png;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 200 35022
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/images/banner.jpg;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 200 205765
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/images/plane-img.png;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 200 37115
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/icon/travel-icon.png;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 200 12987
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/images/header-bg.jpg HTTP/1.1" 200 7023
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/icon/travel-icon2.png;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 200 12621
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/icon/travel-icon3.png;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 200 11762
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/icon/travel-icon4.png;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 200 13165
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/images/London.jpg;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 200 60450
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/images/1.jpg;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 200 21764
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/js/plugin.js;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 200 636368
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/images/2.jpg;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 200 46559
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/images/4.jpg;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/images/blog-image0.jpg;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 200 23715
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/images/3.jpg;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 200 33266
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/images/Amazing.jpg HTTP/1.1" 200 75017
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/icon/facebook.png;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 200 1108
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:42:45 +0530] "GET /travellingProject/resources/images/blog-image.jpg;jsessionid=A7D6B2E98DBF7A3DD6240AA0A280D0E7 HTTP/1.1" 200 23368
